assieds toi !	sit down !
pourquoi sommes nous pauvres ?	why are we poor ?
taisons nous .	let s keep quiet .
mary est veuve .	mary is a widow .
tom etait nerveux .	tom was nervous .
puis je manger ceci ?	can i eat this ?
tranquille .	bite your tongue .
vous etes tellement difficile !	you re so picky .
je me sens bizarre .	i feel strange .
je les ai laissees s en aller .	i let them go .
c est un sectaire .	he s a bigot .
qui vend ca ?	who sells this ?
tu es innocent .	you re innocent .
t es serieuse ?	are you serious ?
je deteste les insectes .	i hate insects .
nous avons souri .	we smiled .
j ai besoin de son nom .	i need his name .
elles ont l air de s ennuyer .	they look bored .
verrouillez la .	lock it .
tu es une idiote .	you re an idiot .
la banque est elle ouverte ?	is the bank open ?
les deux me plaisent .	i like both .
va t en !	get away !
tom etait embarrasse .	tom was ashamed .
j adore le pain .	i love bread .
je me plais a causer .	i like talking .
lisez ceci d abord .	read this first .
ce n est pas un heros .	he s not a hero .
je le vis nu .	i saw him naked .
je me trouve nu .	i m naked .
evite les cliches .	avoid cliches .
j enseigne le francais .	i teach french .
tom est entete .	tom is stubborn .
elle l aida .	she helped him .
je ne suis pas armee .	i m not armed .
vous etes trop lents .	you re too slow .
c est grossier de votre part !	how rude of you !
je ne fais que blaguer .	i m only joking .
tom est pompeux .	tom is pompous .
vous etes trop grand .	you re too tall .
j ai ete accueilli .	i was welcomed .
es tu levee ?	are you up ?
tom a un chien .	tom has a dog .
ca avait l air reel .	it looked real .
tom est rentre a la maison .	tom came home .
est ce a toi ?	is it yours ?
racontez nous une histoire .	tell us a story .
tu pleurais ?	were you crying ?
je suis distraite .	i m forgetful .
je peux essayer ?	can i try it ?
la lune est visible .	the moon is out .
tom s ameliorera .	tom ll improve .
je me trouve nue .	i m naked .
debarrassez vous de tom .	get rid of tom .
desole .	i m sorry .
payez moi un coup !	buy me a drink .
j ai casse ca .	i broke that .
tom a faim .	tom s hungry .
tom est immobile .	tom is immobile .
je suis un vieil homme .	i m an old man .
j ai essaye de me cacher .	i tried to hide .
nous sommes differentes .	we re different .
je me perdrai .	i ll get lost .
tom est pareil .	tom is similar .
pars d ici .	get away !
je dois le reparer .	i must fix it .
vous etes maigrichonnes .	you re skinny .
j ai un cancer .	i have cancer .
tom a change .	tom changed .
cela peut il etre vrai ?	can this be true ?
tom ne plaisante jamais .	tom never jokes .
je suis un peu occupe .	i m a bit busy .
goute le .	taste it .
je suis content aujourd hui .	i m happy today .
je ne partirai jamais .	i ll never leave .
prends du cafe !	have some coffee .
passe devant !	go ahead !
je ne pourrais pas me battre .	i couldn t fight .
arretez de me mordre .	quit biting me .
tu es si naif .	you re so naive .
tom a l air en forme .	tom looks fine .
on y va ?	shall we go ?
est ce que tu aimes la biere ?	do you like beer ?
j ai confiance en lui .	i trust him .
est ce que vous avez le temps ?	do you have time ?
attendons de voir .	wait and see .
donnez moi une minute .	give me a minute .
tu es chiante .	you re annoying .
il a l air en bonne sante .	he looks well .
je me suis marree .	i had fun .
est ce une bonne nouvelle ?	is it good news ?
elle parle .	she is talking .
le diner est pour moi .	dinner is on me .
j espere bien .	i hope so .
je ne me fais pas de souci .	i m not worried .
va avec tom .	go with tom .
nous la prenons .	we ll take it .
comme vous etes grands !	how big you are !
il est sociable .	he is outgoing .
j ai ete recue .	i was welcomed .
voici la note .	here s the bill .
quelqu un est il la ?	anybody home ?
je n ai pas paye .	i didn t pay .
as tu froid ?	are you cold ?
tom n a pas de chance .	tom has no luck .
il me faut emettre une objection .	i must object .
ne dites jamais de mensonges .	never tell lies .
j ai besoin de preuves .	i need evidence .
trouvez le chat .	find the cat .
il m a plaquee .	he dumped me .
il parle le francais .	he speaks french .
j arrete .	i quit .
demandez a n importe qui !	ask anybody .
il ne s en va pas .	he s not going .
je ne peux pas bouger .	i can t move .
tom etait celebre .	tom was famous .
elles nous ont trouvees .	they found us .
puis je me joindre a vous ?	may i join you ?
il continuait a parler .	he kept talking .
qu est ce qui vous a effrayee ?	what scared you ?
je ne suis pas heureuse .	i am not happy .
j ai la tete qui tourne .	i feel giddy .
dites moi !	tell me .
continue de chanter .	keep singing .
donnez moi le ballon !	give me the ball .
arrete ca maintenant .	stop that now .
preparez vous .	get ready .
il fait froid .	it s cold .
tom aide marie .	tom helps mary .
j y suis oppose .	i oppose it .
nous sommes sensibles .	we re sensitive .
continuez d ecrire .	keep writing .
j aime celui ci .	i like this one .
cinq est plus petit que huit .	is less than .
j aime les biscuits .	i like cookies .
ne sois pas long .	come back soon .
il fait encore nuit .	it s still dark .
tom se reposait .	tom rested .
sois tres prudent !	be very careful .
faites attention .	be careful !
tom est idiot .	tom is an idiot .
qui regarde ?	who s watching ?
l ai je brisee ?	did i break it ?
je suis boulanger .	i m a baker .
j en ai parle a tom .	i told tom .
j ai rigole .	i giggled .
qui a paye ?	who paid ?
c est flippant .	that s creepy .
essayons encore une fois .	let s try again .
je vis a proximite .	i live near here .
amusez vous bien !	have a nice time .
prenez une photo .	take a picture .
c est trop risque .	it s too risky .
c est nous qui dirigeons .	we re in charge .
tout le monde se refuse a parler .	no one will talk .
considere ca comme regle .	consider it done .
il essaye .	he tries .
j adore l australie .	i love australia .
je ne l ai pas vue .	i didn t see her .
il crie beaucoup .	he shouts a lot .
tu es pardonnee .	you re forgiven .
attendons en buvant du the .	wait and see .
je n ai rien .	i have nothing .
j aime parler .	i like talking .
avais tu besoin de moi ?	did you need me ?
j etais malade .	i was ill .
personne n etait en retard .	nobody was late .
je prefere lire .	i d rather read .
c est toi qui l as fait !	you did it !
je l ai essaye .	i tried it .
pourquoi est elle la ?	why is she here ?
touillez la soupe !	stir the soup .
je deteste etudier .	i hate studying .
etes vous chauve ?	are you bald ?
apporte moi une boisson !	bring me a drink .
tom a approuve .	tom approved .
je suis presque mort .	i nearly died .
je comprends tom .	i understand tom .
qui te deteste ?	who hates you ?
va dormir tom .	go to sleep tom .
je n en ai aucune idee .	i ve no idea .
tom a leve les yeux .	tom looked up .
je me suis mise a pleurer .	i started crying .
est elle japonaise ?	is she japanese ?
est ce vous ?	is it you ?
j ai echappe a la mort .	i escaped death .
ils sont en train d arriver .	they re coming .
nous avons besoin des deux .	we need both .
je veux travailler .	i want to work .
maintenant tu connais la cause .	now you know why .
nous ne sommes pas des imbeciles .	we re not fools .
ferme la boite .	close the box .
elle l appela .	she called him .
je me fais vieux .	i m getting old .
pouvons nous t aider ?	can we help ?
serrez moi dans vos bras !	give me a hug .
je viens de me faire virer .	i just got fired .
ne partons pas !	let s not go .
je donne ma langue au chat .	i give in .
nous sommes pretes .	we re prepared .
je me bats .	i m fighting .
ca ne suffit pas .	it isn t enough .
j ai tres froid .	i feel very cold .
reste baisse .	stay down .
qui s est fait tirer dessus ?	who s been shot ?
il a bu de la biere .	he drank beer .
je n ai pas ete recalee .	i didn t flunk .
nous ne sommes pas assurees .	we re uninsured .
vous etes amoureuses .	you re in love .
tom est radical .	tom is radical .
genial !	wonderful !
je suis voyante .	i m psychic .
j ai la dalle .	i m starved .
je ne peux le dire .	i can t say .
donnez la moi .	give it to me !
je lui ai achete une poupee .	i got her a doll .
j ai flippe .	i freaked out .
je serai chez moi .	i ll be at home .
c est en francais .	it s in french .
l ete est venu .	summer has come .
jamais je ne l emporte .	i never win .
je sais .	i know .
le voici .	here it is .
il est anglais .	he is english .
je ne me sens pas seul .	i m not lonely .
faites un souhait !	make a wish .
tu es geniale .	you re awesome .
j adore faire la fete .	i love to party .
nous sortons ensemble .	we re dating .
il adore le cafe .	he loves coffee .
c est du poison .	it s poison .
ne vous en melez pas !	don t interfere .
j ai decide .	i ve decided .
tom s est mis a l abri .	tom took cover .
tu es une menace .	you re a menace .
elles vous ont vu .	they saw you .
allons regarder la television .	let s watch tv .
reculez vous !	stand back !
c est gratuit .	it s for free .
personne ne trouve ca drole .	no one is amused .
je suis direct .	i m direct .
pas touche !	don t touch this !
allez vous attraper quelque chose a boire !	go grab a drink .
c en est assez !	that s enough .
calme toi .	chill out .
allume le cierge !	light the candle .
t a t on tire dessus ?	were you shot ?
rentrons .	let s get home .
je le veux .	i want that .
ne saute pas !	don t jump !
je vous admire .	i admire you .
nous sommes cousines .	we re cousins .
rentre a la maison .	come back home .
je me suis marre .	i had fun .
fermez le coffre .	lock the safe .
tu es grossiere .	you re rude .
nous sommes arabes .	we are arabs .
on m a menace .	i was threatened .
nous nous entendons bien .	we get on ok .
veuillez continuer .	please continue .
elle l etrangla .	she choked him .
nous avions besoin de ca .	we needed this .
tom est un espion .	tom is a spy .
je suis en forme .	i m fit .
tom est susceptible .	tom is touchy .
je ne suis pas grincheux .	i m not cranky .
ca va aider .	that will help .
laissez moi la voir .	let me see it .
laisse un commentaire .	leave a comment .
quiconque a t il ri ?	did anyone laugh ?
tu es d accord ?	do you agree ?
elle l apprecia .	she liked that .
je ne l ai pas pris .	i didn t take it .
etes vous en colere ?	are you angry ?
regarde !	take a look .
vous etes sauves .	you re safe .
on n a rien sans rien .	no pain no gain .
ne t en mele pas !	stay out of it .
ouvrez le .	open it .
il est necessaire que nous parlions .	we need to talk .
je t ai fait confiance .	i trusted you .
vide ton assiette !	finish your food .
j ai merde .	i ve messed up .
je suis venue hier .	i came yesterday .
fais le donc !	just do it .
tom a l air enerve .	tom seems angry .
on m a tire dessus .	i got shot .
il peignit un chien .	he painted a dog .
qui es tu ?	who are you ?
vous pouvez faire ceci .	you can do this .
c est sage .	that s wise .
vous plaisantez ?	are you joking ?
il dispose d un joker .	he has the joker .
nous sommes serieuses .	we re serious .
j ai ete impoli .	i was impolite .
ne bouge plus !	hold it !
j ai dessine une carte .	i ve drawn a map .
c etait simple .	it was simple .
qui l a fait ?	who did it ?
jusqu a quel point es tu bon ?	how good are you ?
ecris quelque chose .	write something .
ca s est passe ici .	it happened here .
qui etes vous tous ?	who are you all ?
fais demi tour .	turn around .
rendez moi heureuse .	make me happy .
tom sera present .	tom will attend .
aidez tom !	help tom out .
je me suis senti renaitre .	i felt reborn .
recommencez .	start again .
en aucune maniere !	no way !
il dispose d un dejeuner .	he has a lunch .
degage !	beat it .
il a l esprit ouvert .	he s open minded .
personne ne savait .	no one knew .
vous etes un voleur .	you re a thief .
ca voulait dire non .	that meant no .
il me faut celle ci .	i need this one .
ils etaient naifs .	they were naive .
j adore cette chanson .	i love this song .
il me faut un equipage .	i need a crew .
j avais envie de pleurer .	i wanted to cry .
la nourriture coute de l argent .	food costs money .
faisons un compromis .	let s compromise .
je travaille pour tom .	i work for tom .
je veux des enfants .	i want kids .
c est tres bas .	it s very low .
fais comme tu veux .	do as you like .
retourne au travail !	go back to work .
je vous vire .	i m firing you .
bougeons nous !	let s move .
tu devais sejourner .	you should stay .
laissez tom decider .	let tom decide .
poursuis le travail !	keep working .
veuillez arreter .	please stop .
ils sont moches .	they re ugly .
qui t a recrutee ?	who hired you ?
as tu du temps maintenant ?	are you free now ?
tu dois partir .	you have to go .
j ai besoin des cles .	i need the keys .
riposte .	return fire .
c etait mon choix .	it was my choice .
je me suis assis au bar .	i sat at the bar .
tom est immoral .	tom is immoral .
je suis venu pour toi .	i came for you .
je n etais pas preparee .	i was unprepared .
tom demissionna .	tom resigned .
ca fait mal .	that hurts .
fais entrer tom .	let tom in .
nous devrions l emporter .	we ought to win .
restez bien tranquilles !	stay very still .
la nourriture est arrivee .	the food s here .
la guerre prenait fin .	the war ended .
suis je en train de mourir ?	am i dying ?
n aie crainte .	fear nothing .
conduis prudemment .	drive carefully .
allez vous en !	go away !
nous sommes des survivantes .	we re survivors .
etes vous occupees ?	are you busy ?
ne me faites pas marcher !	don t kid me !
tu es tellement autoritaire !	you re so bossy .
je suis cupide .	i m greedy .
excusez moi .	i m sorry .
quelle histoire !	what a hassle !
tu n es pas une sainte .	you re no saint .
tom etait occupe .	tom was busy .
nous etions la .	we were there .
j ai continue a jouer .	i kept playing .
a terre !	get down .
je me fais du souci .	i m worried .
je l ai rendu .	i gave it back .
je suis enceinte .	i m expecting .
etes vous jalouses ?	are you jealous ?
vous etes libre .	you re free .
tu as l air contrariee .	you look upset .
tom est un homme .	tom is a man .
ils sont geniaux .	they re awesome .
c est normal .	this is normal .
je suis mecontent .	i m unhappy .
tom ecouta .	tom listened .
s il vous plait arretez .	please stop .
donne moi un mouchoir .	give me a tissue .
allons y maintenant .	let s go now .
ca me va .	i m fine with it .
etes vous catholiques ?	are you catholic ?
tom etait il perdu ?	was tom lost ?
nous sommes impliques .	we re involved .
il a la grippe .	he s got the flu .
tout le monde est la .	everybody s here .
il s agit du tien .	this is yours .
qui a parle ?	who spoke ?
qui vient ?	who s coming ?
j ai quitte la piece .	i left the room .
tom voit des choses .	tom sees things .
j ai enseigne le francais .	i taught french .
j ai une femme .	i have a wife .
ca ne convient pas .	it doesn t fit .
tom s entraine .	tom is training .
tom me deteste .	tom hates me .
je fus credule .	i was naive .
je veux essayer .	i want to try .
nous l apprecions .	we like it .
est ce que c est pour moi ?	is it for me ?
j ai trouve celles ci .	i found these .
nous sommes jumeaux .	we re twins .
qui est de service ?	who is on duty ?
vous etes presque mortes .	you almost died .
c est horrible !	how awful !
je me sentis malade .	i felt ill .
je suis sale .	i m dirty .
essayez de resister .	try to resist .
tu es maline .	you re clever .
ce n est pas ca l amour .	that s not love .
votre chatte est grosse .	your cat is fat .
je te sauverai .	i ll save you .
pleurer est normal .	it s ok to cry .
je suis heureux de vous rencontrer a nouveau .	nice to see you .
nous survivrons .	we will survive .
tout est a moi .	it s all mine .
comme c est interessant !	how interesting !
j ai une leucemie .	i have leukemia .
vous n etes d aucune aide .	you re no help .
j aime votre chapeau .	i like your hat .
je suis employe de banque .	i m a bank clerk .
elle n a pas de charme .	she is curt .
ils arrivent .	they re coming .
je veux mary .	i want mary .
essayez .	try it .
je connais des gens .	i know people .
je deteste tout le monde .	i hate everybody .
nous en avons assez .	we have enough .
voici la note .	here is the bill .
es tu fou ?	are you crazy ?
je m en suis bien sorti .	i did ok .
inspire !	take a breath .
soyez calme !	be calm .
il nous faut y aller .	we must go .
nous sommes motives .	we re motivated .
j ai glousse .	i giggled .
essaye de nager !	try and swim !
montre toi solidaire .	be supportive .
restez assises .	stay seated .
je suis tombee .	i crashed .
je suis plutot heureux .	i m fairly happy .
en dieu nous croyons .	in god we trust .
j adore la marche .	i love hiking .
redresse toi .	straighten up .
les femmes adorent ca .	women love that .
je ne suis pas grand .	i m not tall .
je n ai pas le temps .	i have no time .
j aime vos jambes .	i like your legs .
tom a fait une gaffe .	tom goofed .
arretez de bailler .	stop yawning .
je vous meprise .	i despise you .
ca aidera .	that ll help .
je suis gueri .	i m cured .
accelerez .	speed up .
je ne mange pas de poisson .	i don t eat fish .
j espere qu il pleuvra .	i hope it rains .
fuyons !	run !
tom est neutre .	tom is neutral .
viens bientot !	come soon .
j en suis sur a .	i m sure .
tom a belle allure .	tom looks nice .
quand pouvons nous manger ?	when can we eat ?
j ai trouve un taxi .	i found a taxi .
ca ne m amuse pas .	i m not amused .
on ne m a pas engagee .	i wasn t hired .
tout le monde a dormi .	everyone slept .
c est pathetique !	how pathetic !
il ecrit arabe .	he writes arabic .
je suis soldat .	i m a soldier .
arrete de parler .	stop talking .
je mange des fruits .	i eat fruit .
lequel est le mien ?	which is mine ?
nous avons eclate de rire .	we broke up .
j ai ete credule .	i was naive .
je suis partie a l heure .	i left on time .
c est ma chatte .	that s my cat .
nous sommes occupees .	we re busy .
voici bois ceci !	here drink this .
je suis preoccupe .	i m worried .
je dois partir .	i must go .
le diner est pret .	dinner is ready .
soyez honnetes .	be honest .
nous combattrons .	we will fight .
la glace est solide .	ice is solid .
il suffit d ignorer tom .	just ignore tom .
nous irons .	we ll go .
vous etes juste .	you re fair .
soyez equitable !	be fair .
ils sont gros .	they re fat .
tout est en ordre .	everything is ok .
elle parle beaucoup .	she talks a lot .
elle le frappa .	she hit him .
tu plaisantes ?	are you kidding ?
je veux un couteau .	i want a knife .
quel est le but ?	what s the goal ?
pensez positivement .	think positive .
il me faut decliner .	i must decline .
je n y parviens pas .	i can t do it .
tom est un escroc .	tom is a crook .
nous pouvons reparer ceci .	we can fix this .
donne lui du temps .	give him time .
vous n etes pas drole .	you re no fun .
c est tellement bizarre .	it s so strange .
il fut impressionne .	he was impressed .
c est une bombe .	she s a hottie .
tu m ennuies .	you re annoying .
nous sommes bourres .	we re smashed .
il aime chasser .	he likes hunting .
je vais chanter aujourd hui .	i ll sing today .
tom a bronche .	tom flinched .
ils sont en avance .	they re early .
prends une bouffee .	take a whiff .
elles ont termine .	they re done .
tu es chiant .	you re annoying .
reponds a tom .	answer tom .
mentez vous ?	are you lying ?
nickel !	terrific !
soyez brefs .	be brief .
qu est ce que j en ai a faire ?	what do i care ?
continue a lire !	keep reading .
tom sourit .	tom grinned .
je vais bien .	i am okay .
tout le monde est mort .	everyone s dead .
restez allongee immobile !	lie still .
allez chercher tom s il vous plait .	please get tom .
sommes nous prets ?	are we ready ?
vous sentez vous en securite ?	do you feel safe ?
nous sommes piegees !	we re trapped !
c est horrible .	this is awful .
etes vous fou ?	are you mad ?
personne ne rit .	no one laughed .
j adore les ouvrages anciens .	i love old books .
c est un lion .	this is a lion .
es tu envieux ?	are you envious ?
commencez a courir .	start running .
je ne suis pas normal .	i m not normal .
c est si dur .	this is so hard .
vous etes des attardes mentaux .	you re morons .
ne le nie pas !	don t deny it .
je deteste ca .	i hate it .
il m a fallu y retourner .	i had to go back .
je deteste les ratons laveurs .	i hate raccoons .
ce sont des flics .	they re cops .
je suis au telephone .	i m on the phone .
je sais que tom est partant .	i know tom is in .
il se meut rapidement .	he moves quickly .
quel choc !	what a shock !
j ai une table .	i have a table .
je ne plaisante pas .	i am not kidding .
viens vite !	come quick !
tu peux me lacher ?	can you skip me ?
elles sont discretes .	they re quiet .
tom se reposa .	tom rested .
je vais y aller avec vous .	i ll go with you .
regarde encore .	look again .
je tousse beaucoup .	i cough a lot .
je le signerai .	i ll sign it .
tu es en securite .	you re safe .
s agit il d une plaisanterie ?	is this a joke ?
nous vous avons vue .	we saw you .
faites votre devoir .	do your duty .
ce n est pas vrai .	that s not true .
que puis je manger ?	what can i eat ?
va chercher ta mere !	get your mother .
vous etes les vainqueurs !	you ve won .
j etais esseulee .	i was lonely .
prends des notes .	take notes .
je suis titulaire .	i have tenure .
quelle deception !	what a letdown !
attendez precisement ici .	wait right here .
elles sont paresseuses .	they re lazy .
vous etes rusees .	you re crafty .
qu est ce que c est qu un ovni ?	what s a ufo ?
j ai ete vire .	i was fired .
cassez vous .	get lost .
tom est en vie .	tom s alive .
j aime les chateaux .	i like castles .
j aiderai .	i will help .
pense positivement .	think positive .
tous sont morts .	all of them died .
nous grandissons .	we re growing .
vas y .	get going .
c est horrible .	it s terrible .
je suis toujours contente .	i m always happy .
je vais proteger tom .	i ll protect tom .
je veux un perroquet .	i want a parrot .
le fer est dur .	iron is hard .
j avais treize ans en .	i was in .
j ai egalement dix sept ans .	i m too .
j ai le teint clair .	i m fair .
il nous conseille .	he advises us .
je ne peux pas m arreter .	i can t give up .
je ne ragote pas .	i don t gossip .
nous voila !	here we are !
il l a nettoyee .	he cleaned it up .
j aiderai .	i ll help .
vous etes fideles .	you re faithful .
j etais horrifie .	i was horrified .
il faut que tu t en ailles .	you have to go .
je fais les regles .	i make the rules .
tu fais des manieres .	you re fussy .
il cria .	he cried out .
voila ton sac .	here is your bag .
je le reecrivis .	i rewrote it .
j en ai ras le bol .	i m tired of it .
garez vous s il vous plait .	please pull over .
tom est sincere .	tom is sincere .
j ai fait une gaffe .	i goofed .
c est un gaucher .	he s a southpaw .
taisez vous !	shut up !
tom est immature .	tom is immature .
on ne peut tout simplement pas y aller ?	can t we just go ?
tu as l air occupe .	you look busy .
tom a ete invite .	tom was invited .
est ce que tom est la ?	is tom there ?
c etait trop dur .	it was too hard .
c est devenu inutile .	it s redundant .
demontez moi ca .	break it down .
attends un peu !	hold on a minute .
cette voiture est la sienne .	that car is his .
essayez de nouveau .	try once again .
je me suis mis a pleurer .	i started crying .
comment tom va t il ?	how s tom ?
notre equipe peut gagner .	our team can win .
je m en suis sortie .	i handled it .
je me tiendrai bien .	i will behave .
j ai fait une liste .	i made a list .
elle n est pas ici .	she s not here .
personne ne la veut .	nobody wants it .
tom a bien choisi .	tom chose well .
etes vous tous dingues ?	are you all nuts ?
vas y d abord .	you go first .
c est ma voiture .	this is my car .
j etais confiante .	i was confident .
regarde derriere toi .	look behind you .
elle est tres attirante .	she s hot .
qui est ce mec ?	who s this guy ?
j ai envie de crier .	i want to scream .
tu triches .	you re cheating .
je sais courir .	i can run .
je vais mieux .	i am better .
j adore ce jeu .	i love this game .
c etait une rumeur .	it was a rumor .
tom est de la famille .	tom is family .
venez immediatement !	come immediately .
soyez prepares !	be prepared .
c est vous qui l avez fait !	you did it !
je vous ai appele .	i called you .
accrochez vous bien !	hang on tight .
soyez prudents .	be prudent .
deplace toi .	get going .
tom est en ville .	tom is in town .
qu avez vous ressenti ?	how did it feel ?
renvoyez tom chez lui .	send tom home .
grandis un peu .	grow up a little .
je vous ai sauvees .	i saved you .
j ai eu un mouvement de recul .	i cringed .
chante avec moi .	sing with me .
tu gagnes ?	are you winning ?
vous etes grossiere .	you re vulgar .
tom est il bete ?	is tom stupid ?
nous ne pouvons pas y aller .	we can t go .
je suis vegetarienne .	i m vegetarian .
continuez !	just keep moving .
n en as tu rien a faire ?	don t you care ?
vous etes triste .	you re sad .
tom desirait marie .	tom wanted mary .
soyons heureux .	let s be happy .
je connais ton fils .	i know your son .
elle t a fait confiance .	she trusted you .
sois gentil !	be nice .
les prix sont eleves .	prices are high .
ecarte toi .	stand aside .
ca sent mauvais .	it stinks .
comment va tout le monde ?	how is everyone ?
voici ma chambre .	this is my room .
tom l a vu .	tom saw him .
allons pecher .	let s go fishing .
ils sont calmes .	they re quiet .
je ne suis pas morte .	i m not dead .
personne n est a la maison .	no one s home .
ils travaillent .	they re working .
entre tom .	come in tom .
appelle a la maison !	call home !
plait il ?	excuse me ?
vous etes durs .	you re tough .
tom etait troisieme .	tom was third .
est ce juste ?	is that correct ?
ils sont arrives .	they have come .
nous sommes populaires .	we re popular .
je suis en danger .	i m in danger .
qui sont ils ?	who are they ?
prends la mienne .	take mine .
bouge !	go away !
y a t il quelqu un ?	anybody home ?
je crains que non .	i m afraid not .
il vend du whisky .	he sells whisky .
je peux en acheter un .	i can buy one .
laisse nous tranquilles !	leave us alone .
comment va votre papa ?	how is your dad ?
je suis occupe .	i m busy .
nous sommes condamnes .	we are doomed .
evitez les cliches .	avoid cliches .
il se fit prendre .	he got caught .
jette le la !	throw it there .
aimes tu le mien ?	do you like mine ?
elle est morte .	she died .
je l ai vu par moi meme .	i myself saw it .
tom le sait .	tom knows that .
est ce un elan ?	is it an elk ?
je me dirige vers chez moi .	i m heading home .
je suis etudiant .	i m a student .
ca te plaira .	you ll like it .
je suis curieuse .	i m curious .
je suis piegee .	i m trapped .
arretez de jouer .	quit gambling .
passe devant !	go ahead .
ils sont ennuyeux .	they re boring .
qui vous a embrassee ?	who kissed you ?
tom gagne .	tom is winning .
j ai perdu ma montre .	i lost the watch .
nous nous ennuyons toutes .	we re all bored .
j adore cette partie .	i love this part .
je vois tom .	i see tom .
bonjour !	good afternoon .
arrete de geindre .	stop whimpering .
tu me plais .	i like you .
j ai de bonnes nouvelles .	i have good news .
j ai fait un avc .	i had a stroke .
je deteste cette idee .	i hate that idea .
notre plan a echoue .	our plan failed .
il m en faut plus .	i need more .
il m evite .	he avoids me .
j etais professeur .	i was a teacher .
soyez clemente !	be merciful .
fais le entrer .	let him in .
nous nous rendimes .	we surrendered .
tom vous appreciait .	tom liked you .
nous sommes bouchers .	we re butchers .
j etais naive .	i was naive .
je le reprends .	i take it back .
nous rimes tous .	we all laughed .
lachez moi !	get off my back !
c est une poupee .	it s a doll .
tom est au lit .	tom is in bed .
venez par ici !	walk this way .
attendez la .	wait here .
je suis amuse .	i m amused .
finissez ceci .	finish this .
tom est innocent .	tom s innocent .
je suis dans la voiture .	i m in the car .
je dois arreter .	i have to stop .
j ai manque le bus .	i missed the bus .
j ai su y faire .	i handled it .
tu sembles fatigue .	you sound tired .
elle l a aide .	she helped him .
dis ahhh !	say aah .
c est tout nouveau .	it s brand new .
tranquille .	don t rush .
l auto est bleue .	the car is blue .
poursuivons .	let s proceed .
arrete de m asticoter !	stop poking me .
ils sont acteurs .	they are actors .
tom a l air gentil .	tom looks nice .
j ai une quittance .	i have a receipt .
suivez les regles !	follow the rules .
c est vrai ?	is that true ?
au sol !	get down !
sortez !	get out !
rappelez vous ceci .	memorize this .
